itemindex,model,context_id,context_string,response,relevance,reference,metouts
38,retrieval,,"inflation is more than just the rising prices , i guess . but the central bank is warning about the risk of inflation . <eot> has the government taken some measures to curb it ? <eot> yes . the government has banned price hikes in some key industries like energy . <eot> but i'm afraid the price hikes will spill over from food into other areas of the economy . <eot> you said it . i think we should tighten our budget and cut our spending .","Well, i think we could be saving more.",1,What else could i cut though?,"{'Bleu_1': 0.2499999999687501, 'Bleu_2': 5.976143045871594e-09, 'Bleu_3': 1.8123006214089937e-11, 'Bleu_4': 1.0445522729063402e-12, 'METEOR': 0.11301115241635687, 'ROUGE_L': 0.14663461538461536, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6101687, 'EmbeddingAverageCosineSimilarity': 0.925432, 'EmbeddingAverageCosineSimilairty': 0.925432, 'VectorExtremaCosineSimilarity': 0.677915, 'GreedyMatchingScore': 0.761467}"
39,retrieval,,"well , known , jim , i'm ... i'm pretty much in favour of your computers , i think computers teach kids to think , because they require logical thoughts . <eot> but i ... i don't agree with thatbecause computers weaken kids'ability to thinkbecause kids don't learn basic skills .","But i... I do n't agree with that, because computers weaken kids'ability to think, because kids do n't learn basic skills.",0.625,"Yes, but in our world right now, it's vital they learn computer skills early.","{'Bleu_1': 0.09523809523356014, 'Bleu_2': 2.1821789022534134e-09, 'Bleu_3': 6.304863686699914e-12, 'Bleu_4': 3.435094189227651e-13, 'METEOR': 0.09615384615384615, 'ROUGE_L': 0.11856171039844508, 'CIDEr': 0.0, 'SkipThoughtCS': 0.79069424, 'EmbeddingAverageCosineSimilarity': 0.92398, 'EmbeddingAverageCosineSimilairty': 0.92398, 'VectorExtremaCosineSimilarity': 0.518903, 'GreedyMatchingScore': 0.731562}"
40,retrieval,,"good day ! welcome to lincoln bank , how may we assist you ? <eot> hello . i need to find out if a receipt of proceeds has arrived . i'm from felix wasserman associates . <eot> thanks . have you got the l / c number ? <eot> it's nx567822100007 . <eot> hang on a tick and i'll check for you . i'm sorry ; we have no record of that arriving .",Let me look in the file then. Maybe we received it.,0.833333333,That is strange. It was supposed to be there by now.,"{'Bleu_1': 9.0909090892562e-17, 'Bleu_2': 9.534625890679017e-17, 'Bleu_3': 1.0033557296557626e-16, 'Bleu_4': 1.0600313377417292e-16, 'METEOR': 0.041666666666666664, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.634086, 'EmbeddingAverageCosineSimilarity': 0.905084, 'EmbeddingAverageCosineSimilairty': 0.905084, 'VectorExtremaCosineSimilarity': 0.461261, 'GreedyMatchingScore': 0.68585}"
41,retrieval,,"oh , so dalian is hotter than new york now . <eot> not hot but warm . very comfortable .",Is n't it really cold there?,0.5,Do you prefer hot or cold weather?,"{'Bleu_1': 0.1410802874347424, 'Bleu_2': 4.887164515586444e-09, 'Bleu_3': 1.71615761147658e-11, 'Bleu_4': 1.0928032073484179e-12, 'METEOR': 0.1468894576436136, 'ROUGE_L': 0.1517412935323383, 'CIDEr': 0.0, 'SkipThoughtCS': 0.7761488, 'EmbeddingAverageCosineSimilarity': 0.870056, 'EmbeddingAverageCosineSimilairty': 0.870056, 'VectorExtremaCosineSimilarity': 0.687114, 'GreedyMatchingScore': 0.75011}"
42,retrieval,,"hello , bessie . <eot> hello , jack . happy birthday ! <eot> my birthday ? i forgot it , thank you for remembering my birthday .","Oh, my birthday is in december just before xmas so of course nobody remembers.",0.833333333,How do you forget your birthday?,"{'Bleu_1': 7.14285714234694e-17, 'Bleu_2': 7.412493166061185e-17, 'Bleu_3': 7.707540023952376e-17, 'Bleu_4': 8.032276872167517e-17, 'METEOR': 0.12858715889515218, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.65027773, 'EmbeddingAverageCosineSimilarity': 0.8204, 'EmbeddingAverageCosineSimilairty': 0.8204, 'VectorExtremaCosineSimilarity': 0.497094, 'GreedyMatchingScore': 0.652322}"
43,retrieval,,"when you become a permanent employee , you will have the insurances . you will get monthly pay and will be on eight-hour / day work shift . <eot> wait , will i have five insurances and one fund ? <eot> yes . you can also enjoy legal holidays and year-end bonus . <eot> it sounds great ! <eot> if you need to work overtime , you will get twice the usual salary as overtime pay .",That's fine. Do i get over - time for any extra hours that i work?,0.5,"Fantastic news, but how much will i usually need to do?","{'Bleu_1': 0.06666666666222229, 'Bleu_2': 2.1821789022092506e-09, 'Bleu_3': 7.155046341999931e-12, 'Bleu_4': 4.179882048905089e-13, 'METEOR': 0.07246376811594205, 'ROUGE_L': 0.07911802853437094, 'CIDEr': 0.0, 'SkipThoughtCS': 0.65780413, 'EmbeddingAverageCosineSimilarity': 0.940827, 'EmbeddingAverageCosineSimilairty': 0.940827, 'VectorExtremaCosineSimilarity': 0.476267, 'GreedyMatchingScore': 0.698749}"
44,retrieval,,"can you help me now ? <eot> no , but i'll be able to tomorrow . <eot> that'll be too late . <eot> why don't you ask bill if he can help ?","Thanks, i'll ask him.",0.833333333,"I already did, he is busy","{'Bleu_1': 1.516326648523421e-16, 'Bleu_2': 1.750903197335846e-16, 'Bleu_3': 2.1027243544704205e-16, 'Bleu_4': 2.740311594723361e-16, 'METEOR': 0.060150375939849635, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.21429166, 'EmbeddingAverageCosineSimilarity': 0.891245, 'EmbeddingAverageCosineSimilairty': 0.891245, 'VectorExtremaCosineSimilarity': 0.634352, 'GreedyMatchingScore': 0.716131}"
45,retrieval,,"i wonder what he looks like . oh , i can't wait to see him ! his email said he'd be wearing a white hat . oh , there he is .","Well, he has a surprise waiting for him when he gets back, does n't he!",0.625,"Oh just relax, let him find you first.","{'Bleu_1': 0.06666666666222229, 'Bleu_2': 2.1821789022092506e-09, 'Bleu_3': 7.155046341999931e-12, 'Bleu_4': 4.179882048905089e-13, 'METEOR': 0.09567010309278351, 'ROUGE_L': 0.09200603318250376, 'CIDEr': 0.0, 'SkipThoughtCS': 0.66171443, 'EmbeddingAverageCosineSimilarity': 0.900038, 'EmbeddingAverageCosineSimilairty': 0.900038, 'VectorExtremaCosineSimilarity': 0.495748, 'GreedyMatchingScore': 0.711568}"
46,retrieval,,"can i borrow this magazine from you ? it's really interesting and i can't put it down . <eot> i am sorry , but i can't lend it to you now , for i haven't finished reading it . if you don't mind , i can lend you some back numbers to you .",Oh. All right i'll read it soon.,0.833333333,"No thanks, i really only wanted this one.","{'Bleu_1': 1.2383969992892892e-16, 'Bleu_2': 1.3376216389974536e-16, 'Bleu_3': 1.4584274597955138e-16, 'Bleu_4': 1.61023072606689e-16, 'METEOR': 0.0440771349862259, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6146303, 'EmbeddingAverageCosineSimilarity': 0.921642, 'EmbeddingAverageCosineSimilairty': 0.921642, 'VectorExtremaCosineSimilarity': 0.58991, 'GreedyMatchingScore': 0.738408}"
47,retrieval,,"hello , this is room 1205 . our message lamp is flashing . <eot> hold on a minute , please .",Would you bring the message to my room?,0.666666667,"Oh sorry, the technician will be with you in a minute","{'Bleu_1': 0.1718223196547876, 'Bleu_2': 4.107339043435355e-09, 'Bleu_3': 1.2455747868849214e-11, 'Bleu_4': 7.179095782155307e-13, 'METEOR': 0.04092071611253197, 'ROUGE_L': 0.10234899328859062, 'CIDEr': 0.0, 'SkipThoughtCS': 0.20993927, 'EmbeddingAverageCosineSimilarity': 0.875907, 'EmbeddingAverageCosineSimilairty': 0.875907, 'VectorExtremaCosineSimilarity': 0.435721, 'GreedyMatchingScore': 0.664691}"
48,retrieval,,i am calling to find out why i didn't receive an unemployment check this week . <eot> did you send in your continued claim form for the last period ? <eot> i think i forgot to send it in ! <eot> you need to be very careful to send that form in every two weeks if you want to get paid . <eot> can i send it in now ?,Of course. You have to fill out the form first.,0.833333333,"No, you need to send it in before the due date.","{'Bleu_1': 0.27145122535649774, 'Bleu_2': 5.224081267685234e-09, 'Bleu_3': 1.4560182028707485e-11, 'Bleu_4': 7.947732313729421e-13, 'METEOR': 0.10840219875577091, 'ROUGE_L': 0.28328173374613, 'CIDEr': 0.0, 'SkipThoughtCS': 0.70793426, 'EmbeddingAverageCosineSimilarity': 0.947071, 'EmbeddingAverageCosineSimilairty': 0.947071, 'VectorExtremaCosineSimilarity': 0.486108, 'GreedyMatchingScore': 0.744334}"
49,retrieval,,"i am more interested in a full-time position . however , i would also consider a part-time position . <eot> can you tell me about your responsibilities at your last job ? <eot> i advised customers on financial matters . after i consulted the customer , i completed a customer inquiry form and catalogued the information in our database . i then collaborated with colleagues to prepare the best possible package for the client . the clients were then presented with a summarized report on their financial activities that i formulated on a quarterly basis . <eot> what is your greatest strength ? <eot> i am an excellent communicator . people trust me and come to me for advice . one afternoon , my colleague was involved with a troublesome customer who felt he was not being served well . i made the customer a cup of coffee and invited both my colleague and the client to my desk where we solved the problem together .",How would your colleagues evaluate you?,1,"Great, you got the job","{'Bleu_1': 1.666666666388889e-16, 'Bleu_2': 1.8257418580158344e-16, 'Bleu_3': 2.027400664774394e-16, 'Bleu_4': 2.295748846116193e-16, 'METEOR': 0.032128514056224904, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.18227601, 'EmbeddingAverageCosineSimilarity': 0.819149, 'EmbeddingAverageCosineSimilairty': 0.819149, 'VectorExtremaCosineSimilarity': 0.490134, 'GreedyMatchingScore': 0.631688}"
50,retrieval,,"wei ! this is a first-you didn't bargain ! <eot> bargain ? i'd feel way too guilty . <eot> but you could have saved money . <eot> from a sweet ma ? ! it's not worth it . plus , i'd happily pay more for these things i bought ! <eot> f . y . i . , there is a flea market nearby , but maybe you're done ...","Hey! I thought you were n't interested! Sorry, i've got ta go! I'm going to switch over to ebay and see if my bid is still the highest.",0.5,"No, i want to look at a few more things.","{'Bleu_1': 0.07142857142602044, 'Bleu_2': 1.6265001215217239e-09, 'Bleu_3': 4.6685098993880675e-12, 'Bleu_4': 2.5257985573759174e-13, 'METEOR': 0.09351101541513021, 'ROUGE_L': 0.11509433962264153, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6700808, 'EmbeddingAverageCosineSimilarity': 0.918773, 'EmbeddingAverageCosineSimilairty': 0.918773, 'VectorExtremaCosineSimilarity': 0.425347, 'GreedyMatchingScore': 0.723684}"
51,retrieval,,"please mail this letter for me on your way to the store . <eot> sure . do you want it to be registered ? <eot> yes , i think so . there are some pictures in it . it would be a great pity if they were lost . <eot> yes , i will be glad to mail your letter . <eot> thanks .","You're welcome. And if you need any other things, please let us know.",0.833333333,Anything else you'd like me to do?,"{'Bleu_1': 7.692307691715977e-17, 'Bleu_2': 8.006407689612819e-17, 'Bleu_3': 8.352713247389653e-17, 'Bleu_4': 8.737167850948829e-17, 'METEOR': 0.1414794354772094, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.5809252, 'EmbeddingAverageCosineSimilarity': 0.928239, 'EmbeddingAverageCosineSimilairty': 0.928239, 'VectorExtremaCosineSimilarity': 0.632766, 'GreedyMatchingScore': 0.74402}"
52,retrieval,,"is it fred's fault ? <eot> no , i don't suppose he's to blame . the man in the other car made a mistake .",I mean it's not his fault.,0.5,What did he do?,"{'Bleu_1': 1.666666666388889e-16, 'Bleu_2': 1.8257418580158344e-16, 'Bleu_3': 2.027400664774394e-16, 'Bleu_4': 2.295748846116193e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6057563, 'EmbeddingAverageCosineSimilarity': 0.885938, 'EmbeddingAverageCosineSimilairty': 0.885938, 'VectorExtremaCosineSimilarity': 0.573991, 'GreedyMatchingScore': 0.697529}"
53,retrieval,,how do you arrange this summer vacation ? <eot> i want to travel . <eot> where would you like to go ? <eot> the seaside . <eot> that's really a good idea . taking a walk on the beach and lying in the sun are pretty good . i recommend you qingdao or dalian .,"Were i in your position, i'd go to america.",1,Have you been to those places before?,"{'Bleu_1': 0.11111111109876555, 'Bleu_2': 3.726779962059685e-09, 'Bleu_3': 1.2565790683898575e-11, 'Bleu_4': 7.583235672378979e-13, 'METEOR': 0.08947368421052633, 'ROUGE_L': 0.1278825995807128, 'CIDEr': 0.0, 'SkipThoughtCS': 0.62192225, 'EmbeddingAverageCosineSimilarity': 0.927166, 'EmbeddingAverageCosineSimilairty': 0.927166, 'VectorExtremaCosineSimilarity': 0.595541, 'GreedyMatchingScore': 0.709666}"
54,retrieval,,"well , mitzuko-san , i hope you like it here . this is my favourite restaurant in taipei . it reminds me of my youth when i traveled around europe . <eot> it looks wonderful . very authentic . <eot> the chef trained in florence . the pasta is very good here . <eot> ok . so , what can you recommend ? <eot> hum ... you should try the mushroom fettucine . it's really good .",I'll have to try it. You know how i am about italian food! What's the name?,0.666666667,Great. I'll look at that. Any good desserts?,"{'Bleu_1': 0.06249999999609382, 'Bleu_2': 2.041241452187486e-09, 'Bleu_3': 6.676572574796895e-12, 'Bleu_4': 3.8898185452049755e-13, 'METEOR': 0.111671324012, 'ROUGE_L': 0.08866279069767442, 'CIDEr': 0.0, 'SkipThoughtCS': 0.64013976, 'EmbeddingAverageCosineSimilarity': 0.939096, 'EmbeddingAverageCosineSimilairty': 0.939096, 'VectorExtremaCosineSimilarity': 0.477815, 'GreedyMatchingScore': 0.73569}"
55,retrieval,,"now , what seems to be the trouble ?",A pipe burst in my wall.,1,I was mugged,"{'Bleu_1': 1.666666666388889e-16, 'Bleu_2': 1.8257418580158344e-16, 'Bleu_3': 2.027400664774394e-16, 'Bleu_4': 2.295748846116193e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.16257255, 'EmbeddingAverageCosineSimilarity': 0.551546, 'EmbeddingAverageCosineSimilairty': 0.551546, 'VectorExtremaCosineSimilarity': 0.320394, 'GreedyMatchingScore': 0.437399}"
56,retrieval,,"our benefits usually include medical insurance , public accumulation fund and allowances . <eot> what are the allowances ?","Include endowment insurance, medical insurance, unemployment insurance, work - related injury insurance and maternity insurance.",0.625,Allowances on irs form,"{'Bleu_1': 6.666666666222223e-17, 'Bleu_2': 6.900655592947069e-17, 'Bleu_3': 7.155046341999933e-17, 'Bleu_4': 7.432998183959223e-17, 'METEOR': 0.06295081967213116, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.18390194, 'EmbeddingAverageCosineSimilarity': 0.583355, 'EmbeddingAverageCosineSimilairty': 0.583355, 'VectorExtremaCosineSimilarity': 0.238939, 'GreedyMatchingScore': 0.359266}"
57,retrieval,,"peter , how often do you exercise ? <eot> well , i swim and run every day . <eot> now , tell me , what do you eat ? <eot> well , i don't eat any meat , but i do eat fish and eggs . <eot> do you eat a lot of vegetables ?",I thought you meant vegetables and meat when you asked me. Things like that. I do n't have any vegetables.,0.625,Yes i do eat lots of veggies,"{'Bleu_1': 0.09999999999500005, 'Bleu_2': 0.07254762500727839, 'Bleu_3': 6.637297709882802e-07, 'Bleu_4': 2.036485129128617e-09, 'METEOR': 0.08825305533899779, 'ROUGE_L': 0.1622340425531915, 'CIDEr': 0.0, 'SkipThoughtCS': 0.25562683, 'EmbeddingAverageCosineSimilarity': 0.883061, 'EmbeddingAverageCosineSimilairty': 0.883061, 'VectorExtremaCosineSimilarity': 0.606596, 'GreedyMatchingScore': 0.696649}"
58,retrieval,,what kind of permanent would you like to have ?,"I have no idea, any suggestions?",0.875,I would like to have something that sticks around.,"{'Bleu_1': 0.20217688650348561, 'Bleu_2': 4.952302097098729e-09, 'Bleu_3': 1.54930055133557e-11, 'Bleu_4': 9.311821291619466e-13, 'METEOR': 0.04597701149425287, 'ROUGE_L': 0.2573839662447257, 'CIDEr': 0.0, 'SkipThoughtCS': 0.64636886, 'EmbeddingAverageCosineSimilarity': 0.892507, 'EmbeddingAverageCosineSimilairty': 0.892507, 'VectorExtremaCosineSimilarity': 0.575757, 'GreedyMatchingScore': 0.700235}"
59,retrieval,,"can i borrow this magazine from you ? it's really interesting and i can't put it down . <eot> i am sorry , but i can't lend it to you now , for i haven't finished reading it . if you don't mind , i can lend you some back numbers to you . <eot> that would be very kind of you . by the way , is it a monthly magazine ?","Yes, i do. The magazine arrives by post at the beginning of each month. Do you every buy magazines?",0.375,"Yes, it's a monthly. I really like the magazine. I'd love to share them with you.","{'Bleu_1': 0.15789473683379507, 'Bleu_2': 2.9617443886352513e-09, 'Bleu_3': 8.020757925039532e-12, 'Bleu_4': 4.237713199509635e-13, 'METEOR': 0.11291233502767303, 'ROUGE_L': 0.1741198858230257, 'CIDEr': 0.0, 'SkipThoughtCS': 0.64598453, 'EmbeddingAverageCosineSimilarity': 0.958494, 'EmbeddingAverageCosineSimilairty': 0.958494, 'VectorExtremaCosineSimilarity': 0.589823, 'GreedyMatchingScore': 0.773163}"
60,retrieval,,"hi , bob , this is john lin . <eot> hello , john .","Oh, hi kim. How's it going?",0.625,How are you today?,"{'Bleu_1': 1.666666666388889e-16, 'Bleu_2': 1.8257418580158344e-16, 'Bleu_3': 2.027400664774394e-16, 'Bleu_4': 2.295748846116193e-16, 'METEOR': 0.1523809523809524, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6735101, 'EmbeddingAverageCosineSimilarity': 0.849143, 'EmbeddingAverageCosineSimilairty': 0.849143, 'VectorExtremaCosineSimilarity': 0.474807, 'GreedyMatchingScore': 0.696319}"
61,retrieval,,"no appetite , always on edge , and i can't sleep well . <eot> did you lose any weight ? <eot> yes , i have lost quite a few pounds since last month . <eot> when was the last time you had a check-up ? <eot> about two month ago .","You have n't lost any weight, have you?",0.625,It was just a routine check - up,"{'Bleu_1': 1.2499999996875005e-16, 'Bleu_2': 1.3363062092161143e-16, 'Bleu_3': 1.4384239562738273e-16, 'Bleu_4': 1.561969968017105e-16, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.14138925, 'EmbeddingAverageCosineSimilarity': 0.783945, 'EmbeddingAverageCosineSimilairty': 0.783945, 'VectorExtremaCosineSimilarity': 0.280361, 'GreedyMatchingScore': 0.56529}"
62,retrieval,,"hi , lander . what's wrong ? <eot> i can hardly make ends meet these days .","Maybe you need a vacation or something, or maybe a bonus.",1,Have you asked for a raise?,"{'Bleu_1': 0.18181818180165296, 'Bleu_2': 4.26401432670519e-09, 'Bleu_3': 1.2641490044408468e-11, 'Bleu_4': 7.088856801504128e-13, 'METEOR': 0.15004848196093426, 'ROUGE_L': 0.2484725050916497, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6170689, 'EmbeddingAverageCosineSimilarity': 0.906965, 'EmbeddingAverageCosineSimilairty': 0.906965, 'VectorExtremaCosineSimilarity': 0.489095, 'GreedyMatchingScore': 0.706357}"
63,retrieval,,do you have any questions ?,"Yes, could you give me some ideas?",0.375,Yes i do have some.,"{'Bleu_1': 1.428571428367347e-16, 'Bleu_2': 1.5430334993821163e-16, 'Bleu_3': 1.6823908654542381e-16, 'Bleu_4': 1.857505799560655e-16, 'METEOR': 0.23657683623162543, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6806915, 'EmbeddingAverageCosineSimilarity': 0.935924, 'EmbeddingAverageCosineSimilairty': 0.935924, 'VectorExtremaCosineSimilarity': 0.726498, 'GreedyMatchingScore': 0.808376}"
64,retrieval,,"no , i'm afraid not , mary . may i take a message for her ? <eot> yes , please tell her that band practice has been moved to tuesday night at eight thirty . <eot> o . k . no problem . anything else ? <eot> no , but if she has any questions , she can call me at 555-2345 . <eot> all right , i'll leave her the message , mary . thanks for calling .",You are welcome. Looking forward to seeing you again.,1,Perfect! Let me know if you need anything eles,"{'Bleu_1': 0.1111111110864199, 'Bleu_2': 3.726779961645599e-09, 'Bleu_3': 1.2565790682502379e-11, 'Bleu_4': 7.583235671536399e-13, 'METEOR': 0.015936254980079684, 'ROUGE_L': 0.1111111111111111, 'CIDEr': 0.0, 'SkipThoughtCS': 0.2358926, 'EmbeddingAverageCosineSimilarity': 0.840736, 'EmbeddingAverageCosineSimilairty': 0.840736, 'VectorExtremaCosineSimilarity': 0.423056, 'GreedyMatchingScore': 0.651451}"
65,retrieval,,"how can we develop a new brand image with no direction whatsoever ? <eot> with the fifty forwards he sent out today , maybe we'll inadvertently get inspired . <eot> i guess this is a good excuse to surf the net on someone else's dime . <eot> who'd have thought bean would be this kind of e-mail fanatic ?",Like elvin. He is n't too happy about what you promised stars. Com.,0.5,"I know right, he's so weird","{'Bleu_1': 7.692307691715977e-17, 'Bleu_2': 8.006407689612819e-17, 'Bleu_3': 8.352713247389653e-17, 'Bleu_4': 8.737167850948829e-17, 'METEOR': 0.0665269853855185, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.1795823, 'EmbeddingAverageCosineSimilarity': 0.905418, 'EmbeddingAverageCosineSimilairty': 0.905418, 'VectorExtremaCosineSimilarity': 0.382891, 'GreedyMatchingScore': 0.666755}"
66,retrieval,,where did you want to go for lunch ? <eot> i was thinking we should just go to the cafeteria . <eot> i don't think i ever got food from the cafeteria . <eot> i actually like the food there . <eot> does the cafeteria sell a lot of different food ?,They sell pizza and burgers at the cafeteria.,0.75,Yeah it actually has a wide selection.,"{'Bleu_1': 1.2499999998437502e-16, 'Bleu_2': 1.3363062093831524e-16, 'Bleu_3': 1.43842395645363e-16, 'Bleu_4': 1.5619699682123511e-16, 'METEOR': 0.024767801857585144, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6776006, 'EmbeddingAverageCosineSimilarity': 0.677324, 'EmbeddingAverageCosineSimilairty': 0.677324, 'VectorExtremaCosineSimilarity': 0.277504, 'GreedyMatchingScore': 0.517427}"
67,retrieval,,are you finished ? <eot> yes . may i have some more beer ?,"Yes, may i have some more beer?",0.25,Sure you can,"{'Bleu_1': 1.428571428367347e-16, 'Bleu_2': 1.5430334993821163e-16, 'Bleu_3': 1.6823908654542381e-16, 'Bleu_4': 1.857505799560655e-16, 'METEOR': 0.09323170499707062, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.20543289, 'EmbeddingAverageCosineSimilarity': 0.822522, 'EmbeddingAverageCosineSimilairty': 0.822522, 'VectorExtremaCosineSimilarity': 0.594517, 'GreedyMatchingScore': 0.668011}"
68,retrieval,,"peter , how often do you exercise ? <eot> well , i swim and run every day . <eot> now , tell me , what do you eat ? <eot> well , i don't eat any meat , but i do eat fish and eggs . <eot> do you eat a lot of vegetables ?",I thought you meant vegetables and meat when you asked me. Things like that. I do n't have any vegetables.,0.5,I love vegetables.,"{'Bleu_1': 0.09999999999500005, 'Bleu_2': 2.294157338587892e-09, 'Bleu_3': 6.637297709882805e-12, 'Bleu_4': 3.621439573979875e-13, 'METEOR': 0.21058021099405713, 'ROUGE_L': 0.2006578947368421, 'CIDEr': 0.0, 'SkipThoughtCS': 0.7448099, 'EmbeddingAverageCosineSimilarity': 0.898709, 'EmbeddingAverageCosineSimilairty': 0.898709, 'VectorExtremaCosineSimilarity': 0.701874, 'GreedyMatchingScore': 0.833246}"
69,retrieval,,"can i have an aisle seat , pls . <eot> no problem . i'll give you an aisle seat in the center row . and here is your ticket , passport and boarding pass . please board the plane at gate 15 . <eot> thank you . and when is the latest time for me to board the plane ? <eot> 15mins before the plane takes off . the plane is scheduled to leave on time . <eot> thank you very much !",You are welcome. Have a safe trip.,1,You're quite welcome.,"{'Bleu_1': 0.14285714283673484, 'Bleu_2': 4.879500363987508e-09, 'Bleu_3': 1.6823908654542377e-11, 'Bleu_4': 1.0445522728736978e-12, 'METEOR': 0.06986899563318778, 'ROUGE_L': 0.21554770318021202, 'CIDEr': 0.0, 'SkipThoughtCS': 0.72995627, 'EmbeddingAverageCosineSimilarity': 0.890084, 'EmbeddingAverageCosineSimilairty': 0.890084, 'VectorExtremaCosineSimilarity': 0.663736, 'GreedyMatchingScore': 0.797519}"
70,retrieval,,"i would like to buy a black suit . <eot> do you have any special brand in your mind ? <eot> no , i never wear suit in my everyday life . i just want one to take part in my sister's wedding ceremony .",You are always be the most beautiful one in the world. What is the bridemaid's name?,0.333333333,"In that case any brand would do, what style would you like sir?","{'Bleu_1': 0.18749999998828132, 'Bleu_2': 3.535533905704402e-09, 'Bleu_3': 9.629283927127046e-12, 'Bleu_4': 5.119289102444937e-13, 'METEOR': 0.06140623329430899, 'ROUGE_L': 0.14055299539170507, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6404199, 'EmbeddingAverageCosineSimilarity': 0.91109, 'EmbeddingAverageCosineSimilairty': 0.91109, 'VectorExtremaCosineSimilarity': 0.510805, 'GreedyMatchingScore': 0.680579}"
71,retrieval,,excuse me . can you tell me how to get to city hall ? <eot> yes . go to the next corner and turn left onto center street . walk three blocks to second avenue and turn right . walk two more blocks and you'll see city hall on the left . <eot> i'm sorry . i didn't follow you . could you please repeat that ?,So is it the right way to the city hall?,0.833333333,What's your location? I can put it into google maps and give you directions from there.,"{'Bleu_1': 0.05488116359842648, 'Bleu_2': 1.8293721199373851e-09, 'Bleu_3': 6.123209875199101e-12, 'Bleu_4': 3.6628208413987833e-13, 'METEOR': 0.06472491909385114, 'ROUGE_L': 0.0738498789346247, 'CIDEr': 0.0, 'SkipThoughtCS': 0.6409792, 'EmbeddingAverageCosineSimilarity': 0.897404, 'EmbeddingAverageCosineSimilairty': 0.897404, 'VectorExtremaCosineSimilarity': 0.337756, 'GreedyMatchingScore': 0.654663}"
72,retrieval,,"how many pieces of luggage would you like to check in , sir ? <eot> three bags and a suitcase . this is my luggage to check . <eot> do you have any carry-on luggage ? <eot> no . <eot> put your luggage on the scale , please . oh , your luggage is overweight .","Hand - baggage is not to be weighed, sir... I'm sorry, sir, you're 25 kilos overweight. I'm afraid there'll be an excess luggage charge, sir.",0.833333333,By how much?,"{'Bleu_1': 3.99999999984e-17, 'Bleu_2': 4.0824829044719294e-17, 'Bleu_3': 4.169080726515258e-17, 'Bleu_4': 4.2601467362601026e-17, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.47234187, 'EmbeddingAverageCosineSimilarity': 0.842662, 'EmbeddingAverageCosineSimilairty': 0.842662, 'VectorExtremaCosineSimilarity': 0.359904, 'GreedyMatchingScore': 0.588509}"
73,retrieval,,"do you have any carry-on luggage ? <eot> no . <eot> put your luggage on the scale , please . oh , your luggage is overweight . <eot> how much is the excess baggage part charge ? <eot> twenty-two dollars",Are these four pieces all your luggage?,0.666666667,Can you not waive the fee sir?,"{'Bleu_1': 1.4285714281632656e-16, 'Bleu_2': 1.5430334991616832e-16, 'Bleu_3': 1.6823908652138966e-16, 'Bleu_4': 1.8575057992952973e-16, 'METEOR': 0.0273972602739726, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.7521009, 'EmbeddingAverageCosineSimilarity': 0.752124, 'EmbeddingAverageCosineSimilairty': 0.752124, 'VectorExtremaCosineSimilarity': 0.32309, 'GreedyMatchingScore': 0.574293}"
74,retrieval,,"what's up ? <eot> nothing much , what's going on ?",Probably nothing.,0.833333333,I'm about to make some dinner. How was your day?,"{'Bleu_1': 9.157819435209296e-18, 'Bleu_2': 1.2951112443799125e-17, 'Bleu_3': 1.453713220518608e-14, 'Bleu_4': 4.870399353332467e-13, 'METEOR': 0.0, 'ROUGE_L': 0.0, 'CIDEr': 0.0, 'SkipThoughtCS': 0.5328926, 'EmbeddingAverageCosineSimilarity': 0.864096, 'EmbeddingAverageCosineSimilairty': 0.864096, 'VectorExtremaCosineSimilarity': 0.520023, 'GreedyMatchingScore': 0.691507}"
